;Name;leaning;type;url;X;X.1;domain
1;21st Century Wire;;questionable;https://21stcenturywire.com/;;;21stcenturywire
2;369 News;NA;questionable;369news.net;;conspiracy-pseudoscience;369news
3;911Truth.org;NA;questionable;911truth.org;;conspiracy-pseudoscience;911truth
4;Experience Awareness;Right;questionable;AbcBusinessNews.com;Right;questionable;abcbusinessnews
5;American Herald Tribune;right;questionable;ahtribune.com;;conspiracy-pseudoscience;ahtribune
6;American Intelligence Media;Right;questionable;aim4truth.org;;conspiracy-pseudoscience;aim4truth
7;Alliance for Advanced Health;NA;questionable;allianceforadvancedhealth.com;;conspiracy-pseudoscience;allianceforadvancedhealth
8;AlternativeNews.com;right;questionable;alternativenews.com;;conspiracy-pseudoscience;alternativenews
9;AltHealth Works;NA;questionable;althealthworks.com;;conspiracy-pseudoscience;althealthworks
10;American Action News;Right;questionable;americanactionnews.com;Right;questionable;americanactionnews
11;American Digital News;NA;questionable;americandigitalnews.com;;conspiracy-pseudoscience;americandigitalnews
12;American Free Press;extreme right;questionable;americanfreepress.net;;conspiracy-pseudoscience;americanfreepress
13;American Truth Today;extreme right;questionable;americantruthtoday.com;Extreme Right;questionable;americantruthtoday
14;America’s News Source;extreme right;questionable;americasnewssource.com;Offline;questionable;americasnewssource
15;Analyzing America;extreme right;questionable;analyzingamerica.org;Extreme Right;questionable;analyzingamerica
16;We are Anonymous;NA;questionable;anonhq.com;;conspiracy-pseudoscience;anonhq
17;Answers in Genesis;NA;questionable;answersingenesis.org;;conspiracy-pseudoscience;answersingenesis
18;Archaeology World;NA;questionable;archaeology-world.com;NA;questionable;archaeology-world
19;Asia-Pacific Research;NA;questionable;asia-pacificresearch.com;;conspiracy-pseudoscience;asia-pacificresearch
20;Assassination Science;NA;questionable;assassinationscience.com;;conspiracy-pseudoscience;assassinationscience
21;Awareness Act;NA;questionable;awarenessact.com;;conspiracy-pseudoscience;awarenessact
22;ADW News;extreme right;questionable;awdnews.com;;conspiracy-pseudoscience;awdnews
23;Backroom Buzz;extreme right;questionable;backroombuzz.com;Extreme Right;questionable;backroombuzz
24;Before It’s News;extreme right;questionable;beforeitsnews.com;Offline;questionable;beforeitsnews
25;Behold Israel;Right;questionable;beholdisrael.org;;conspiracy-pseudoscience;beholdisrael
